"","playername","team","year","age","height","weight","careergamesplayed","goals","seasongames","seasongoals"
"2","Jarryd Roughead","hawthorn",2015,"28yr","193cm","100kg","207","441","24","50"
"3","Jordan Lewis","hawthorn",2015,"28yr","186cm","88kg","217","124","23","9"
"4","Matt Suckling","hawthorn",2015,"26yr","187cm","86kg","77","36","25","15"
"5","Sam Mitchell","hawthorn",2015,"32yr","179cm","83kg","261","61","24","6"
"6","Josh Gibson","hawthorn",2015,"31yr","189cm","94kg","165","2","25","0"
"7","Ben McEvoy","hawthorn",2015,"25yr","200cm","103kg","104","33","19","12"
"8","Taylor Duryea","hawthorn",2015,"23yr","179cm","80kg","41","6","22","6"
"9","Shaun Burgoyne","hawthorn",2015,"32yr","186cm","89kg","269","235","26","9"
"10","Brad Hill","hawthorn",2015,"21yr","180cm","78kg","51","31","24","16"
"11","Brendan Whitecross","hawthorn",2015,"25yr","183cm","86kg","84","38","4","0"
"12","James Frawley","hawthorn",2015,"26yr","193cm","94kg","139","18","18","6"
"13","Jonathan O'Rourke","hawthorn",2015,"20yr","184cm","80kg","9","0","2","1"
"14","Grant Birchall","hawthorn",2015,"27yr","193cm","91kg","194","27","22","4"
"15","Luke Hodge","hawthorn",2015,"30yr","185cm","90kg","250","167","21","21"
"16","Isaac Smith","hawthorn",2015,"26yr","188cm","82kg","86","79","25","23"
"17","Brian Lake","hawthorn",2015,"33yr","195cm","100kg","229","34","22","0"
"18","Jonathon Ceglar","hawthorn",2015,"24yr","204cm","94kg","17","9","14","6"
"19","Jack Gunston","hawthorn",2015,"23yr","193cm","84kg","79","163","24","57"
"20","David Hale","hawthorn",2015,"30yr","201cm","102kg","219","204","18","13"
"21","James Sicily","hawthorn",2015,"20yr","186cm","77kg","0","0","3","4"
"22","Luke Breust","hawthorn",2015,"24yr","184cm","84kg","91","172","25","52"
"23","Tim O'Brien","hawthorn",2015,"21yr","193cm","81kg","4","2","0","0"
"24","Ben Stratton","hawthorn",2015,"26yr","189cm","89kg","92","1","25","0"
"25","Ryan Schoenmakers","hawthorn",2015,"24yr","195cm","93kg","79","13","16","15"
"26","Liam Shiels","hawthorn",2015,"23yr","183cm","84kg","102","30","22","13"
"27","Matthew Spangher","hawthorn",2015,"27yr","195cm","96kg","51","13","4","0"
"28","Paul Puopolo","hawthorn",2015,"27yr","173cm","76kg","88","69","23","29"
"29","Will Langford","hawthorn",2015,"22yr","187cm","83kg","20","9","13","4"
"30","Kaiden Brand","hawthorn",2015,"21yr","198cm","92kg","0","0","0","0"
"31","Angus Dewar","hawthorn",2015,"22yr","192cm","90kg","13","0","6","1"
"32","Jonathan Simpkin","hawthorn",2015,"27yr","181cm","80kg","36","16","1","0"
"33","Cyril Rioli","hawthorn",2015,"25yr","177cm","80kg","133","179","24","42"
"34","Kurt Heatherley","hawthorn",2015,"20yr","193cm","89kg","0","0","0","0"
"35","Sam Grimley","hawthorn",2015,"24yr","199cm","96kg","3","3","0","0"
"36","Zac Webster","hawthorn",2015,"19yr","182cm","75kg","0","0","0","0"
"37","Jed Anderson","hawthorn",2015,"21yr","178cm","75kg","6","3","4","1"
"38","Dallas Willsmore","hawthorn",2015,"19yr","191cm","85kg","0","0","0","0"
"39","Alex Woodward","hawthorn",2015,"21yr","182cm","79kg","2","0","0","0"
"40","Billy Hartung","hawthorn",2015,"20yr","178cm","67kg","7","3","20","11"
"41","Daniel Howe","hawthorn",2015,"19yr","191cm","83kg","0","0","4","0"
"42","Teia Miles","hawthorn",2015,"18yr","180cm","70kg","0","0","0","0"
"43","Marc Pittonet","hawthorn",2015,"18yr","202cm","101kg","0","0","0","0"
"44","Jared Hardisty","hawthorn",2015,"19yr","178cm","86kg","0","0","0","0"
"45","Jermaine Miller-Lewis","hawthorn",2015,"19yr","187cm","75kg","0","0","0","0"
"46","Lachlan Langford","hawthorn",2015,"18yr","189cm","83kg","0","0","0","0"
"47","Shem Tatupu","hawthorn",2015,"19yr","192cm","93kg","0","0","0","0"
