"","playername","team","year","age","height","weight","careergamesplayed","goals","seasongames","seasongoals"
"2","Nick Vlastuin","richmond",2017,"23yr","187cm","86kg","80","18","16","2"
"3","Dylan Grimes","richmond",2017,"25yr","193cm","88kg","79","2","25","1"
"4","Dion Prestia","richmond",2017,"24yr","175cm","81kg","95","30","22","7"
"5","Dustin Martin","richmond",2017,"25yr","187cm","89kg","153","150","25","37"
"6","Brandon Ellis","richmond",2017,"23yr","181cm","81kg","110","39","25","7"
"7","Shaun Grigg","richmond",2017,"29yr","190cm","85kg","167","78","25","15"
"8","Ben Lennon","richmond",2017,"21yr","190cm","79kg","19","9","2","1"
"9","Jack Riewoldt","richmond",2017,"28yr","195cm","94kg","202","483","23","54"
"10","Trent Cotchin","richmond",2017,"27yr","185cm","85kg","173","101","25","17"
"11","Shane Edwards","richmond",2017,"28yr","182cm","83kg","187","129","20","11"
"12","Jake Batchelor","richmond",2017,"25yr","188cm","87kg","83","4","1","0"
"13","David Astbury","richmond",2017,"26yr","195cm","96kg","60","8","25","0"
"14","Bachar Houli","richmond",2017,"28yr","180cm","84kg","149","33","21","5"
"15","Jayden Short","richmond",2017,"21yr","177cm","72kg","16","6","16","2"
"16","Shaun Hampson","richmond",2017,"29yr","201cm","104kg","98","38","0","0"
"17","Daniel Rioli","richmond",2017,"20yr","179cm","65kg","18","13","25","25"
"18","Alex Rance","richmond",2017,"27yr","194cm","96kg","150","8","25","1"
"19","Ivan Maric","richmond",2017,"31yr","200cm","102kg","157","61","0","0"
"20","Jacob Townsend","richmond",2017,"23yr","187cm","84kg","32","4","5","16"
"21","Josh Caddy","richmond",2017,"24yr","186cm","84kg","95","76","22","21"
"22","Kane Lambert","richmond",2017,"25yr","178cm","75kg","28","15","24","13"
"23","Ben Griffiths","richmond",2017,"25yr","200cm","104kg","61","42","2","0"
"24","Toby Nankervis","richmond",2017,"22yr","199cm","101kg","12","3","24","11"
"25","Anthony Miles","richmond",2017,"25yr","179cm","78kg","65","23","5","1"
"26","Sam Lloyd","richmond",2017,"27yr","182cm","84kg","42","58","8","6"
"27","Taylor Hunt","richmond",2017,"26yr","183cm","80kg","103","21","2","0"
"28","Shai Bolton","richmond",2017,"18yr","175cm","70kg","0","0","6","3"
"29","Reece Conca","richmond",2017,"24yr","185cm","83kg","80","21","6","0"
"30","Oleg Markov","richmond",2017,"20yr","188cm","73kg","8","1","7","2"
"31","Corey Ellis","richmond",2017,"20yr","184cm","75kg","17","4","6","3"
"32","Kamdyn McIntosh","richmond",2017,"23yr","192cm","89kg","29","8","24","2"
"33","Jack Graham","richmond",2017,"19yr","183cm","83kg","0","0","5","5"
"34","Nathan Broad","richmond",2017,"24yr","192cm","83kg","2","0","10","0"
"35","Callum Moore","richmond",2017,"20yr","193cm","85kg","2","1","0","0"
"36","Connor Menadue","richmond",2017,"20yr","187cm","69kg","19","7","9","3"
"37","Steven Morris","richmond",2017,"28yr","185cm","83kg","86","12","1","0"
"38","Nathan Drummond","richmond",2017,"22yr","182cm","84kg","5","2","0","0"
"39","Dan Butler","richmond",2017,"20yr","182cm","78kg","0","0","23","30"
"40","Mabior Chol","richmond",2017,"19yr","197cm","80kg","1","0","0","0"
"41","Ryan Garthwaite","richmond",2017,"18yr","192cm","84kg","0","0","0","0"
"42","Todd Elton","richmond",2017,"23yr","197cm","97kg","4","1","6","1"
"43","Tyson Stengle","richmond",2017,"18yr","171cm","69kg","0","0","2","2"
"44","Jason Castagna","richmond",2017,"20yr","181cm","78kg","5","2","25","26"
"45","Ivan Soldo","richmond",2017,"21yr","204cm","106kg","0","0","7","1"
"46","Chris Yarran","richmond",2017,"26yr","180cm","84kg","119","90","0","0"
