"","playername","team","year","age","height","weight","careergamesplayed","goals","seasongames","seasongoals"
"2","Matt Suckling","western bulldogs",2016,"27yr","187cm","86kg","102","51","17","7"
"3","Robert Murphy","western bulldogs",2016,"33yr","187cm","83kg","292","173","3","0"
"4","Mitch Wallis","western bulldogs",2016,"23yr","185cm","84kg","76","30","17","11"
"5","Marcus Bontempelli","western bulldogs",2016,"20yr","194cm","84kg","37","32","26","26"
"6","Matthew Boyd","western bulldogs",2016,"33yr","184cm","88kg","258","83","24","0"
"7","Luke Dahlhaus","western bulldogs",2016,"23yr","178cm","76kg","94","86","21","9"
"8","Lachie Hunter","western bulldogs",2016,"21yr","181cm","80kg","36","16","26","10"
"9","Stewart Crameri","western bulldogs",2016,"27yr","190cm","96kg","97","165","0","0"
"10","Jake Stringer","western bulldogs",2016,"21yr","191cm","92kg","50","94","23","42"
"11","Easton Wood","western bulldogs",2016,"26yr","186cm","84kg","87","12","20","3"
"12","Jack Macrae","western bulldogs",2016,"21yr","188cm","80kg","55","17","22","2"
"13","Zaine Cordy","western bulldogs",2016,"19yr","191cm","83kg","2","0","9","8"
"14","Nathan Hrovat","western bulldogs",2016,"21yr","174cm","77kg","26","11","4","3"
"15","Clay Smith","western bulldogs",2016,"22yr","182cm","83kg","34","17","13","18"
"16","Tom Campbell","western bulldogs",2016,"24yr","201cm","104kg","26","16","9","5"
"17","Toby McLean","western bulldogs",2016,"20yr","180cm","72kg","4","2","15","14"
"18","Tom Boyd","western bulldogs",2016,"20yr","201cm","102kg","23","24","15","13"
"19","Fletcher Roberts","western bulldogs",2016,"22yr","196cm","88kg","19","0","18","0"
"20","Lukas Webb","western bulldogs",2016,"20yr","186cm","80kg","10","1","5","0"
"21","Josh Dunkley","western bulldogs",2016,"19yr","189cm","82kg","0","0","17","9"
"22","Tom Liberatore","western bulldogs",2016,"23yr","181cm","81kg","77","18","21","14"
"23","Mitch Honeychurch","western bulldogs",2016,"21yr","177cm","67kg","14","10","2","1"
"24","Jordan Roughead","western bulldogs",2016,"25yr","200cm","100kg","88","16","25","8"
"25","Shane Biggs","western bulldogs",2016,"24yr","187cm","83kg","16","3","26","4"
"26","Koby Stevens","western bulldogs",2016,"24yr","187cm","83kg","62","29","12","5"
"27","Declan Hamilton","western bulldogs",2016,"20yr","182cm","68kg","0","0","0","0"
"28","Will Minson","western bulldogs",2016,"31yr","198cm","107kg","189","80","2","1"
"29","Josh Prudden","western bulldogs",2016,"21yr","182cm","80kg","4","0","0","0"
"30","Tory Dickson","western bulldogs",2016,"28yr","183cm","82kg","57","98","22","40"
"31","Joel Hamling","western bulldogs",2016,"23yr","194cm","88kg","11","0","12","0"
"32","Bailey Dale","western bulldogs",2016,"19yr","182cm","70kg","10","6","4","3"
"33","Kieran Collins","western bulldogs",2016,"18yr","193cm","98kg","0","0","1","0"
"34","Marcus Adams","western bulldogs",2016,"22yr","193cm","95kg","0","0","11","0"
"35","Bailey Williams","western bulldogs",2016,"18yr","187cm","81kg","0","0","6","0"
"36","Caleb Daniel","western bulldogs",2016,"19yr","167cm","63kg","10","6","24","11"
"37","Bradley Lynch","western bulldogs",2016,"18yr","187cm","70kg","0","0","0","0"
"38","Roarke Smith","western bulldogs",2016,"19yr","181cm","74kg","1","0","1","0"
"39","Dale Morris","western bulldogs",2016,"33yr","190cm","90kg","207","3","23","0"
"40","Jason Johannisen","western bulldogs",2016,"23yr","178cm","77kg","47","12","17","6"
"41","Luke Goetz","western bulldogs",2016,"18yr","201cm","97kg","0","0","0","0"
"42","Liam Picken","western bulldogs",2016,"29yr","183cm","80kg","150","46","26","17"
"43","Jack Redpath","western bulldogs",2016,"25yr","194cm","99kg","15","21","10","20"
"44","Jed Adcock","western bulldogs",2016,"30yr","184cm","83kg","206","59","7","1"
"45","Lin Jong","western bulldogs",2016,"22yr","190cm","87kg","23","12","16","13"
